Year,h(1)
1994,0.43042441332105624
1995,0.5925657825590496
1996,0.5221621907204891
1997,0.22226450508985302
1998,0.4689254700470171
1999,0.5085230838547976
2000,0.6168784807141021
2001,0.4924596399405726
2002,0.5065428160943471
2003,0.5929398355449312
2004,0.5313246330087964
2005,0.5705929935692751
2006,0.5645074737705449
2007,0.29802158768913967
2008,0.4635407529116667
2009,0.5171260826903556
2010,0.5948889973940968
2011,0.39991865968784707
2012,0.5867534664965303
2013,0.5239924083730287
2014,0.4643724092922222
2015,0.47856085741458476
2016,0.5568576368954647
2017,0.4223965949552604
2018,0.46633929721544837
2019,0.4675050645074229
2020,0.6783388594938844
2021,0.41771263396192393
2022,0.5310127160979594
2023,0.5199676884085335
2024,0.47834353295319954
