q,h(q),τ(q),α(q)
-5,0.6057587339283468,-4.028793669641734,0.666163837459508
-4,0.5906574580455566,-3.3626298321822263,0.648377061438798
-3,0.5773465155880462,-2.7320395467641383,0.6140596739689106
-2,0.5672552421222025,-2.134510484244405,0.5857093744296811
-1,0.560620797904776,-1.5606207979047761,0.5672552421222026
0,0.5554469250414386,-1.0,0.5537704948918613
1,0.5469201918789464,-0.45307980812105364,0.5293657138834257
2,0.5293657138834257,0.05873142776685136,0.480087561348261
3,0.5023651048584895,0.5070953145754684,0.41633037978466125
4,0.47284804683404347,0.8913921873361739,0.3636711437081812
5,0.44688752039836616,1.2344376019918308,0.34304541465565697
