Year,h(1)
1997,0.5321592826920152
1998,0.5195623173213338
1999,0.6655464723601412
2000,0.4893112656356733
2001,0.5179415318932505
2002,0.6740931004602403
2003,0.5288723082446588
2004,0.5336889155175157
2005,0.5718807203089443
2006,0.565854347579965
2007,0.4837917832327926
2008,0.5753445092526445
2009,0.3956256549739212
2010,0.560292132579096
2011,0.5423120965368815
2012,0.4224422186307077
2013,0.5767262114076309
2014,0.2939262222400695
2015,0.7242209042801364
2016,0.5632891976455744
2017,0.594239054509881
2018,0.5533192845005618
2019,0.6646680010714999
2020,0.6105640340620885
2021,0.46417872167739793
2022,0.5218929670881102
2023,0.41625686238253157
2024,0.41156347761038264
