q,h(q),τ(q),α(q)
-5,0.6226939086911625,-4.113469543455812,0.6688436537594593
-4,0.6111564724240882,-3.444625889696353,0.6586731161579915
-3,0.598707770379943,-2.796123311139829,0.636609247349254
-2,0.5857036974989225,-2.171407394997845,0.6117737603259269
-1,0.5725757904879754,-1.5725757904879754,0.5857036974989225
0,0.5595998593799887,-1.0,0.5591222773239812
1,0.545668764159987,-0.454331235840013,0.5262919212607482
2,0.5262919212607482,0.05258384252149639,0.4747947895077253
3,0.4984194477251459,0.4952583431754376,0.40813796482714015
4,0.4672149430439442,0.8688597721757767,0.3500661029219083
5,0.43907810980385087,1.1953905490192542,0.32653077684347753
