Year,h(1)
1994,0.4721791278418697
1995,0.6449512514581826
1996,0.5555992950626788
1997,0.29040282329046435
1998,0.5034867311387122
1999,0.5577495376957923
2000,0.6360260574596573
2001,0.5212185112432188
2002,0.5283505301347099
2003,0.608318481845387
2004,0.5550450933546427
2005,0.5854425124652878
2006,0.5856197177021809
2007,0.3279190510600978
2008,0.5005866320784799
2009,0.5348830022741041
2010,0.6273665702173801
2011,0.42355458474671487
2012,0.6174850746108084
2013,0.5490832655500755
2014,0.4942428607374735
2015,0.503404789976199
2016,0.591983435206636
2017,0.4804234098841851
2018,0.49218512738124065
2019,0.4958725356025232
2020,0.7395723681188832
2021,0.4400238133894191
2022,0.5697304783315201
2023,0.5400808754503774
2024,0.5004733439249144
