Year,h(1)
1997,0.6347318232395419
1998,0.5836611817163018
1999,0.7111471025775045
2000,0.5559951088693332
2001,0.5738154100224283
2002,0.7075339154777046
2003,0.551472561005563
2004,0.5502409424726485
2005,0.6088390031108092
2006,0.6080569542217549
2007,0.5111080860771253
2008,0.6135801798274297
2009,0.4257906489922943
2010,0.5829569909011421
2011,0.5577433078565751
2012,0.4459101677674598
2013,0.5947039209446898
2014,0.3690246257705675
2015,0.7753151216156029
2016,0.616246430454948
2017,0.6213323370146187
2018,0.5807792095550788
2019,0.7060960106469882
2020,0.6464477877135704
2021,0.48835712891753263
2022,0.5758526785628033
2023,0.4377296761982884
2024,0.5284666488680267
