q,h(q),τ(q),α(q)
-5,0.660997731898635,-4.3049886594931746,0.7243817189384281
-4,0.6451517351386866,-3.5806069405547465,0.7090794866797294
-3,0.6289432287112386,-2.8868296861337157,0.6767632473853833
-2,0.61354022289199,-2.22708044578398,0.6434919746121623
-1,0.599845736909391,-1.599845736909391,0.61354022289199
0,0.5883506859295993,-1.0,0.5891853875869948
1,0.5785250382645984,-0.42147496173540155,0.5680433108669429
2,0.5680433108669429,0.13608662173388586,0.5439994641119632
3,0.5555079888295082,0.6665239664885247,0.5160401003440156
4,0.5420417056054793,1.168166822421917,0.48940328328470273
5,0.529066106611586,1.6453305330579302,0.47716371063601315
