q,h(q),τ(q),α(q)
-5,0.565882856750225,-3.8294142837511247,0.6287644684232805
-4,0.550162453831961,-3.200649815327844,0.6155398531885892
-3,0.5327781924579821,-2.5983345773739464,0.5860145853306864
-2,0.5143103223332358,-2.0286206446664714,0.5516980758464847
-1,0.49493842568097696,-1.494938425680977,0.5143103223332357
0,0.4730035706597137,-1.0,0.46862940141008175
1,0.4423203771391865,-0.5576796228608135,0.3896158363514767
2,0.3896158363514767,-0.22076832729704665,0.25245131966166473
3,0.31574100548750533,-0.05277698353748406,0.10806762757093769
4,0.24884173196120718,-0.004633072155171281,0.025366753536363362
5,0.19959130470704853,-0.0020434764647573322,0.0025895956904139483
