q,h(q),τ(q),α(q)
-5,0.5447529176377064,-3.7237645881885317,0.6274283579594906
-4,0.5240840575572603,-3.096336230229041,0.6078781620122302
-3,0.5026694213880237,-2.5080082641640713,0.5658261197707062
-2,0.48234199534381444,-1.9646839906876288,0.5224837598128658
-1,0.46304074453833977,-1.4630407445383398,0.4823419953438144
0,0.44359623524739933,-1.0,0.4429940244248918
1,0.42294730431144373,-0.5770526956885562,0.40020697121418114
2,0.40020697121418114,-0.19958605757163772,0.35072673656303643
3,0.37480025914583887,0.12440077743751665,0.29527591061523306
4,0.3477414409147071,0.3909657636588284,0.24239441881724133
5,0.32183792301439984,0.6091896150719993,0.2182238514131709
